"L","A","W","K","H"
218,45,207,1.998024754658,60
186,36,124.392367,1.93310257447875,48
226,45,244.472654,2.11789765658949,60
220,46,249.319833,2.34147100864012,63
205,38,160.978357,1.86855509351286,52
225,47,251.982818,2.21219483566529,62
212,44,196.823233,2.0657072721945,57
213,41,193.788338,2.00534374519136,54
209,45,222.667481,2.43903446792201,61
215,44,198.509912,1.99740814771026,57
201,41,184.792089,2.27559621510772,55
202,42,171.462332,2.08024562724874,55
216,45,248.743621,2.46825882622377,61
234,49,301.401438,2.35232729442131,65
213,46,236.111807,2.44331181236138,61
227,46,249.885568,2.13630670142291,61
232,51,307.13178,2.45957914556767,69
242,50,311.508759,2.19798216798631,64
205,40,168.539462,1.95632056412414,53
210,43,193.873909,2.09344464960587,54
195,42,165.275839,2.22897673932467,54
235,51,300.880001,2.31840729703438,67
222,46,239.444323,2.18849531598801,62
159,32,89.269816,2.22081952315098,43
221,46,255.207372,2.36437519438132,62
184,38,141.354336,2.26911060655872,50
206,41,171.72486,1.96440716665736,53
217,45,215.328697,2.10728225882296,58
233,49,282.451212,2.23293293553646,64
193,39,151.466,2.10689663470466,51
223,47,240.086567,2.16497692831469,61
168,33,94.666527,1.9964967125243,43
244,50,319.342481,2.19830129641908,65
194,40,175.940573,2.40968798518199,54
220,45,226.246146,2.12477597670924,60
203,43,189.979513,2.2710079593068,58
181,34,116.343449,1.96203255757714,46
193,42,159,2.21169480225292,56
211,43,208.379503,2.21823540113292,59
203,43,193.231569,2.30988291452427,56
207,44,209.387792,2.36069739562916,58
193,38,174.881033,2.43260045093536,38
200,40,167.686172,2.09607715,53
213,43,211.938697,2.19316572286696,57
216,43,201.58049,2.00026365153305,56
189,39,149.375613,2.21255608390067,51
212,44,213.615048,2.24194141808338,59
213,46,206.2,2.13378103412218,60
182,37,124.326213,2.06228432689156,50
212,44,210.874858,2.21318246354373,59
200,39,158.783198,1.984789975,52
207,42,165.220856,1.86274682366783,56
198,41,154.614443,1.9918401827684,56
190,38,114.563635,1.67026731301939,51
193,40,172.878801,2.40474934334225,55
200,42,171.855264,2.1481908,56
227,46,254.045138,2.1718674476363,62
212,46,206.127735,2.16336026342215,60
190,40,152.441626,2.22250511736405,56
218,47,247.132817,2.38539848335443,61
206,43,204.230295,2.33624563820607,57
169,35,106.343278,2.20317974048693,45
200,42,176.334344,2.2041793,55
194,39,141.285611,1.935052464026,50
190,40,156.121608,2.27615699081499,54
210,43,189.400459,2.04514047079149,57
210,45,229.519233,2.47834178814383,60
193,39,156.362537,2.17500761226403,52
200,41,174.914024,2.1864253,53
190,37,129.186124,1.8834542061525,48
210,40,168.890814,1.82367793974733,53
171,35,112.197037,2.2438460496967,48
217,45,236.957695,2.31895123001223,61
217,44,227.232662,2.22377864134716,58
182,38,136.461852,2.26358651009659,49
180,38,131.221752,2.25003004115226,50
203,43,167,1.99631172443439,56
196,39,153.231716,2.03507514938504,53
221,48,256.472297,2.3760941242434,66
214,44,229.194417,2.33863644990421,62
219,46,252.578639,2.40471866458469,62
192,41,159.945975,2.25979804992676,55
182,36,100.478988,1.66671401898428,46
183,37,139.08725,2.26952019315697,52
188,37,133.904724,2.01521947208229,49
197,41,169.288866,2.21426562183428,54
219,46,242.591977,2.30963891990248,61
159,33,94.879668,2.36037922431119,46
249,51,359.544034,2.32891718484395,69
208,40,145.43552,1.61614559626764,53
200,42,177.599038,2.219987975,55
237,50,296.809211,2.22962762392848,66
230,48,295.384555,2.42775174652749,65
214,45,220.63529,2.25130148492747,60
189,38,146.484472,2.16973241623167,52
208,42,192.257765,2.13645566264011,57
198,44,190.381887,2.45261881904444,59
210,45,215.023142,2.32181343267466,60
192,38,149.758653,2.11586638556586,51
178,37,111.477498,1.97663829898903,48
215,47,238.254965,2.39732315393613,61
250,55,361.612917,2.3143226688,72
200,42,180.003072,2.2500384,54
218,46,248.102196,2.3947552139759,62
191,40,166.387697,2.38792734538283,53
234,50,292.50041,2.28285804685651,65
200,41,160.147629,2.0018453625,54
211,44,207.671098,2.21069430891072,57
218,46,249.052785,2.4039305780025,62
227,45,225.620762,1.92886347818512,59
204,43,179.575709,2.11522751666026,57
237,52,304.783821,2.28953280910165,68
191,38,155.583812,2.23287446050594,54
225,43,208.772513,1.83284510727023,57
224,46,262.389807,2.33454852312716,63
214,45,224.776653,2.29355880773165,60
215,46,226.579128,2.27984079892337,58
212,43,217.51263,2.28284748063838,58
224,45,236.327024,2.10266134634657,59
204,43,204.149919,2.40468785337088,57
195,40,155.612412,2.09865185859505,53
189,40,145.220438,2.15100950650907,52
198,40,149.569802,1.92685195491287,52
202,40,165.275839,2.00518876279844,51
199,42,178.358035,2.26325479827105,54
204,41,193.196994,2.27567303016939,41
190,39,150.777959,2.19824987607523,51
195,41,156.603465,2.11201759975724,53
205,43,185.710611,2.15563454970183,55
207,43,197.097689,2.22213528621968,58
212,43,212.417654,2.22937447943604,57
212,45,212.178175,2.22686108960753,58
148,29,66.342596,2.04647910785146,40
216,46,239.120595,2.37277047253658,61
211,45,211.35521,2.24991231040552,59
174,34,110.265786,2.09311472385092,45
221,46,247.132817,2.28956827404022,61
215,43,212.353794,2.13670538694706,57
195,42,178.121654,2.40222059036734,57
193,37,134.880351,1.87618975618082,49
214,44,203.121195,2.07259250287541,57
222,46,231.530026,2.11615949404481,62
224,45,241.477544,2.14848682637117,60
220,47,236.524452,2.22130401953418,61
207,44,219.775404,2.47781028153803,59
204,43,195.414663,2.30179501803605,58
221,45,251.882029,2.33356746950883,61
159,30,83.172151,2.06912420121109,42
220,46,250.698206,2.35441590909091,63
228,48,263.668681,2.22461061736945,65
196,40,164.512766,2.18489912260198,52
205,43,165.936381,1.92610532058444,57
216,44,222.443776,2.20728801503836,58
178,36,123.172834,2.18401153100349,48
247,53,341.556272,2.26658184035103,62
214,46,225.865868,2.30467285638137,60
216,45,246.412218,2.44512454037113,61
208,43,202.090671,2.24572338300452,58
215,44,207.598228,2.08885484800081,58
207,45,207.565659,2.34015415102783,58
189,40,146.587868,2.17126392090139,52
226,48,269.641515,2.33593869659442,62
199,42,168.844262,2.14253081523372,55
206,42,162.152468,1.85490598292163,55
177,37,132.577359,2.39083477646476,49
224,48,246.553648,2.19365020840926,62
215,45,223.669734,2.25056645578377,60
199,39,142.241287,1.8049552705321,51
195,41,155.583812,2.09826614744011,54
212,44,193.196994,2.02764901982845,57
168,34,107.213142,2.26110212686265,45
193,38,154.148972,2.14421685625806,51
191,49,148.555883,2.13201253295304,52
237,50,303.835714,2.28241063944081,67
193,41,159.179969,2.2141981764785,53
212,45,235.531008,2.47195470086044,60
210,44,203.916053,2.20187941906922,58
208,44,207.321091,2.30384618718352,58
222,48,255.134774,2.33190434773707,61
186,36,128.538779,1.99753932333529,48
213,45,223.012825,2.30776205795834,60
217,43,201.110427,1.96813727471452,57
193,40,147.689114,2.05436003637195,53
178,35,107.806718,1.91155068520743,46
221,45,249.165715,2.3084021093101,61
218,45,242.591977,2.34156896293442,60
192,39,162.624528,2.29764200846354,52
196,41,180.981877,2.403625894079,55
218,45,241.824745,2.33416341448724,61
217,47,252.853205,2.47451027385832,62
198,43,179.684017,2.31480215119257,57
222,47,251.067744,2.29473213169342,63
242,49,297.523371,2.09930233139023,65
207,44,213.192988,2.40359825532713,60
189,40,151.466,2.24351895917642,50
243,51,321.573726,2.24110258711691,69
229,49,275.31824,2.29260131722995,64
221,47,244.945801,2.26930660863615,62
188,37,140.70219,2.11751896858114,49
188,41,163.823453,2.46548592616761,54
211,44,225.917344,2.40492871408146,59
220,44,226.645757,2.12852889744553,60
215,46,234.892495,2.36348995685914,60
212,43,206.710769,2.16947934578545,59
190,38,140.220333,2.04432618457501,51
217,47,252.113191,2.46726823693892,59
183,39,143.906038,2.3481495187964,53
223,45,247.263687,2.22969649761799,62
220,46,247.86051,2.32776587152517,61
212,45,216.018421,2.26716539702237,58
197,43,168.372733,2.20228277940135,54
227,46,255.246865,2.18214117998479,61
208,40,171.558254,1.90643328882425,54
215,45,224.722993,2.26116435533978,60
219,47,253.936173,2.41764330207792,63
196,41,155.282084,2.06230615007352,53
214,48,241.273939,2.46189255193491,63
213,45,214.122449,2.215763436741,58
220,45,221.595158,2.08109652516905,60
199,39,153.712324,1.95051574125266,53
235,45,251.770186,1.9399954615066,59
209,43,199.186423,2.18182982560931,57
252,55,355.686466,2.22262255945882,71
194,38,146.587868,2.00767235362501,50
212,44,209.034894,2.19387159786267,59
188,38,136.96558,2.06128428912669,51
208,46,212.302068,2.35919706737881,60
220,47,252.036082,2.36698048459805,62
220,47,244.259374,2.29394603681443,61
221,44,228.078084,2.11303521510977,59
214,45,220.689687,2.25185653687258,59
230,50,284.979716,2.34223486479822,66
183,38,143.747214,2.34555794929483,48
173,34,102.635502,1.98225399341061,45
212,45,230.73163,2.42158407191843,61
237,52,305.392013,2.29410154091183,66
200,40,146.338472,1.8292309,50
224,44,251.388033,2.23666295532582,60
212,45,210.199133,2.20609056679339,56
233,49,279.950662,2.21316470578656,66
206,42,176.14925,2.01501896173518,54
218,46,228.19044,2.20256110094832,59
217,44,209.340885,2.04868342748945,59
215,44,218.548496,2.19903652257034,58
211,45,229.636689,2.44452177687914,59
230,47,261.976538,2.15317282814169,62
213,46,228.269004,2.36215359560213,61
194,39,175.342659,2.40149893499643,53
235,47,268.586337,2.06957099679262,62
229,48,276.456579,2.30208037495912,63
222,48,269.807184,2.4660085944235,63
214,45,232.773348,2.37515487211469,62
198,42,164.075807,2.11372740516068,54
196,40,148.051886,1.96628166728999,52
199,44,177.357406,2.25055742590125,54
204,45,192.269192,2.26474442333642,57
245,51,306.816859,2.08632021691642,69
218,42,176.22033,1.70093034596136,56
205,38,147.319587,1.71001102131426,51
214,46,230.358457,2.35051399216191,60
219,46,234.739726,2.23488020470209,63
242,52,313.94109,2.21514451097083,68
224,47,245.15252,2.18118401797103,62
217,46,228.925273,2.24034312708957,61
178,37,123.837202,2.19579162346146,50
208,39,164.636956,1.8295206798333,52
207,42,184.103239,2.07563216882383,55
203,41,176.550286,2.11047548439548,54
222,48,251.984962,2.30311540539809,64
196,40,157.543636,2.09234189198378,52
219,46,245.609295,2.33836581834613,60
177,36,117.191202,2.1133684012917,48
225,47,249.783431,2.19288608834019,62
216,45,236.283827,2.3446214988029,58
200,40,162.626675,2.0328334375,52
182,37,148.329759,2.46044763864321,49
198,39,166.242365,2.14163836353536,51
218,46,235.918001,2.27714978776537,61
195,40,171.72486,2.31595084205735,54
200,41,167.807742,2.097596775,53
205,40,162.385747,1.88489136257454,52
198,41,161.651369,2.08249427496061,52
183,38,131.107231,2.13930829909568,51
194,41,168.302951,2.30508285826358,53
218,46,256.866206,2.47934801073953,62
181,37,130.490032,2.20060255582832,48
233,52,298.380699,2.35886433415443,67
217,46,248.564446,2.43253897194185,63
180,37,121.221581,2.07855934499314,49
243,48,291.991481,2.03493883541095,64
209,44,215.530878,2.36086220575466,58
196,41,158.26853,2.10196923157018,54
221,47,240.843198,2.23129793870794,59
218,46,246.312673,2.37748221275354,62
212,45,225.077664,2.36224433592832,60
202,41,164.4,1.99456275399131,54
200,40,160.002731,2.0000341375,53
214,44,204.035898,2.08192587933648,58
210,40,147.754651,1.5954502861462,53
212,44,216.345156,2.27059455960289,58
