"","L","H","A","W","FC"
"823",20,6.5,3,157,157
"1230",10.2,3,1.8,20,20
"736",15,5,2.5,57,57
"1192",15.5,4.5,2,54,54
"831",21,6.5,3,159,159
"1283",21,7,3,157,157
"179",14,4.5,2,50,50
"1349",27,8.5,4,330,330
"1032",24.5,7,3,254,254
"360",11,3,1.9,23.2,23.2
"79",15,5,2.3,50,50
"1182",11,3.8,1.6,28,28
"805",16.5,5.5,2.5,82,82
"1069",20.5,6.5,2.5,152,152
"924",27,8,4,321,321
"385",12,3,1.5,39,39
"836",17,5,2.5,78,78
"1213",10,3,1.5,14,14
"1336",29,9,5,424,424
"857",30,10,4.5,481,481
"1071",19.5,5.5,2.3,110,110
"659",15,4.3,2,NA,59.4670823558318
"1123",18.5,6,3,115,115
"1292",15,4.5,2.5,80,80
"69",15,5,2.3,52,52
"1084",22,6.5,3,170,170
"315",6.5,2,1,6,6
"1012",28.5,9,4,420,420
"395",14,4,2,46,46
"98",17.5,6,2.8,78,78
"311",6.1,2,1,5,5
"1218",13.5,4,2,40,40
"455",18,5.5,2.5,94,94
"619",27,7,3,NA,320
"758",19.5,6,3,129,129
"1039",28.5,9,4,404,404
"1312",19.5,6,3,148,148
"877",28.5,8.5,4,342,342
"861",27,8,3,304,304
"1045",20.5,6,2.5,153,153
"752",14,5,2.8,73,73
"84",15.5,5,2.2,57,57
"724",20,6.5,3.2,141,141
"986",14,4,1.5,48,48
"177",13.5,4,2,41,41
"1374",20.5,6.5,3,150,150
"280",9,2.6,1.3,12,12
"922",25.5,8,4.2,292,292
"1394",11,3,1,24.4,24.4
"701",25,8,3.1,265.5,265.5
"12",10,3.5,1.7,19,19
"389",12.5,4,2,40,40
"673",13,4,2,35,35
"427",15.8,5,2.3,68,68
"51",13,4,1.8,34,34
"833",20.5,6,3.5,156,156
"373",12,4,1.8,29.7,29.7
"106",18.5,5,2.2,88,88
"519",21.5,6.5,2.3,170,170
"646",16,4.4,2.1,NA,70
"336",6.4,2,1,14,14
"1173",16.2,5.1,2.2,76,76
"1128",17.6,6.6,2.5,104,104
"790",22,7,3,186,186
"1134",16,5,2.5,72,72
"907",16.5,5,2,79,79
"1204",13.8,4,2,49,49
"1169",11.2,4,1.5,29,29
"1106",31.5,10,4.5,490,490
"842",30,8.5,4,389,389
"744",11.8,3.5,1.5,27,27
"1369",21.5,6.3,3,154,154
"151",16.5,5,2.26,62,62
"1049",15,5.5,2.4,63,63
"351",10,2.1,1,20,20
"359",10.5,3,1.5,23,23
"1138",11,3.5,2,25,25
"444",18,4.5,2.2,85,85
"848",26.5,8,4,306,306
"653",15.4,4.4,2.2,NA,64.1833040830435
"142",15.5,5,2.2,59,59
"580",24,8,3.9,150,250
"1126",17,5.5,3,82,82
"1229",7.5,2,1,8,8
"1360",27,7.5,3.8,263,263
"578",24,8.5,3.8,240,240
"551",21.5,6,2.8,190,190
"862",27,8,3,298,298
"448",17,3.9,1.9,89,89
"116",22.5,7,3.3,183,183
"1321",18.5,5.5,2,83,83
"1232",11,3.5,2,26,26
"437",16.5,5,2.3,75.18,76
"404",15,4.6,2.1,52.2,52.2
"1240",8.3,2.5,1,10,10
"454",17,4.5,2,92,92
"821",17.5,5.5,2.5,103,103
"739",9,2.5,1,13,13
"266",7.4,2.1,1,7,7
"17",10,4,1.8,18,18
"559",23,7.1,3.4,199,199
"1147",25,7,3,227,227
"429",14,4,2.4,87,70
"1393",9,2.5,1,12.3,12.3
"1033",18.5,6,3,113,113
"874",28,7.5,3,328,328
"1354",26.5,8,3.5,347,347
"87",16,4.5,2,54,54
"1237",8.5,2.5,1.5,13,13
"886",28,8.5,3,342,342
"541",23,6,2.8,183,183
"453",17.5,5.2,2.3,91,91
"1157",26,8,3.5,284,284
"503",21,6,2.8,147,147
"219",21.5,7,3.3,165,165
"609",13.8,4,2,40,40
"632",17.5,5.5,2.7,111,111
"474",20,5.5,2.4,115,115
"507",20,6,3,150,150
"490",20.5,6,2.6,137,137
"1189",18,5.2,2.5,101,101
"1137",14.5,5,2.5,55,55
"1068",21,7,2.5,182,182
"1367",21,7,3,161,161
"283",9.5,2.8,1.3,14,14
"350",10,3,1.5,19,19
"42",11.5,3.5,1.7,24,24
"113",19,5.5,2.4,85,85
"3",8.5,3,1.5,16,16
"2",8,2.5,1.3,14,14
"1191",16,5,2.3,70,70
"974",29,9.5,4,430,430
"1404",9.5,3,1,19.2,19.2
"1139",11,4,2,24,24
"312",6.5,2,0.8,5.3,5.3
"532",20,6,3,18,180
"890",30,9,4.5,388,388
"819",17.5,5,2.5,89,89
"682",8.5,2.5,1.2,12,12
"1340",26.5,8.5,4,323,323
"1282",20.5,6,2.5,145,145
"964",17.3,5,3,79,79
"545",21,6,2.8,187,187
"740",10,3,1.2,16,16
"1000",35,10.2,4,621,621
"841",27,8.5,4,325,325
"1065",33,10,4,600,600
"1180",12.3,3.8,1.4,29,29
"88",16,5,2.2,70,70
"1119",20,6.5,3.3,138,138
"814",17,5.5,2.5,92,92
"825",23.5,7.5,3.5,211,211
"600",22,7,2.8,189,189
"370",11.5,4,1.5,28,28
"478",19,6,3,159,119
"1004",24,7,3.2,236,236
"1311",18,5,2.5,101,101
"375",14.5,3.7,1.7,31.1,31.1
"141",15,4.2,1.9,44,44
"52",13,3.5,1.7,32,32
"445",18.5,5,2.5,85,85
"1044",23.5,7,3,234,234
"92",16.5,3.5,1.6,71,71
"547",20.5,6,2.8,188,188
"798",28.5,9.5,3,294,294
"398",15,4,1.8,38,50
"1072",16,5.5,2.5,70,70
"603",28,8.5,3.8,386,386
"1396",8.5,2.5,1,12.1,12.1
